CourseNumber,Department,CourseSection,CourseName,Instructor,Note,URL
OM472,Operations Management,1,Operations Planning and Scheduling,"Xu, Shenghan",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,OM472&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
PEP493,Physical Ed--Professional,1,Fitness Assessment and Prescription,"Vella, Chantal A",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,PEP493&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
PHYS100,Physics,1,Fundamentals of Physics,"Miller, Ross Leonel",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,PHYS100&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
PHYS111,Physics,1,General Physics I,"Miller, Ross Leonel",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,PHYS111&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
PHYS428,Physics,All,Numerical Methods,"Hiller, John R",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,PHYS428&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
PHYS528,Physics,All,Numerical Methods,"Hiller, John R",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,PHYS528&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
PLSC205,Plant Science,1,General Botany,"Fu, Daolin",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,PLSC205&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
POLS462,Political Science,1,Natural Resource Policy,"Wilson, Patrick R.",,
POLS558,Political Science,All,Research Methods for Local Government and Community Administration,"McBrayer, Markie Rae",,
PSYC218,Psychology,0,Introduction toResearch in the Behavioral Sciences,"Cohen, Rajal G.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,PSYC218&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
PSYC305,Psychology,2,Developmental Psychology,"Derrick, Jamie Christel",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,PSYC305&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
PSYC325,Psychology,1,Cognitive Psychology,"McDunn, Benjamin A",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,PSYC325&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
PSYC415,Psychology,All,History and Systems of Psychology,"Yama, Mark Francis",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,PSYC415&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
PSYC456,Psychology,All,Psychology of Emotions,"Kersten, Michael Joseph",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,PSYC456&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
RMAT495,Renewable Materials,1,Product Development and Brand Management,"Albertson, Douglas E",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,RMAT495&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
SOC101,Sociology,3,Introduction to Sociology,"Hormel, Leontina",URL for This instructor only,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,SOC101%20hormel&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
SOC101,Sociology,2,Introduction to Sociology,"Haltinner, Kristin",URL for This instructor only,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,SOC101%20haltinner&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
SOC130,Sociology,2,Introduction to Criminology,"Wolf, Brian",, 
